Brand,Price,Body,Mileage,EngineV,Engine Type,Registration,Year,log_price
Toyota,8800.0,crossover,205,2.0,Petrol,yes,2002,9.082507000466299
BMW,13000.0,sedan,220,2.5,Petrol,yes,2005,9.472704636443673
Renault,7500.0,van,43,1.5,Diesel,yes,2013,8.922658299524402
Toyota,8300.0,sedan,140,3.0,Petrol,yes,2002,9.02401079378469
Toyota,18700.0,crossover,250,4.7,Gas,yes,2004,9.836278802842678
Toyota,28787.85,sedan,0,2.5,Petrol,yes,2016,10.267708702109744
Mercedes-Benz,16500.0,sedan,190,2.2,Diesel,yes,2007,9.711115659888671
Mitsubishi,13900.0,crossover,127,3.0,Petrol,yes,2008,9.539644119118783
Audi,1350.0,vagon,400,1.9,Diesel,no,1994,7.2078598714324755
Toyota,20859.15,crossover,1,2.0,Petrol,yes,2016,9.945547979881786
Mitsubishi,28800.0,crossover,100,3.2,Diesel,yes,2013,10.268130666124037
Mercedes-Benz,34900.0,crossover,64,2.2,Diesel,yes,2013,10.460242108190519
BMW,37500.0,other,45,2.0,Petrol,yes,2013,10.532096211958502
Mercedes-Benz,19700.0,sedan,220,2.2,Diesel,yes,2009,9.88837391472608
Mercedes-Benz,12800.0,other,116,2.2,Diesel,yes,2013,9.457200449907708
Renault,4600.0,van,265,1.5,Diesel,yes,2008,8.433811582477187
Mercedes-Benz,17977.0,van,322,3.0,Diesel,yes,2007,9.796848442046416
Volkswagen,11962.0,sedan,0,1.6,Petrol,yes,2015,9.389490237604502
Volkswagen,12500.0,vagon,195,1.6,Diesel,yes,2013,9.433483923290392
Volkswagen,9200.0,van,268,2.5,Diesel,yes,2003,9.126958763037132
Mercedes-Benz,28500.0,sedan,148,2.2,Diesel,yes,2011,10.257659366256743
Volkswagen,16950.0,sedan,38,2.0,Diesel,yes,2014,9.738023112808596
Mercedes-Benz,24750.0,sedan,212,5.5,Petrol,yes,2006,10.116580767996837
Mercedes-Benz,57000.0,crossover,3,2.2,Diesel,yes,2015,10.950806546816688
Toyota,11300.0,hatch,87,1.0,Petrol,yes,2009,9.332558004700433
Mercedes-Benz,51000.0,sedan,119,4.7,Petrol,yes,2012,10.839580911706463
Audi,3000.0,vagon,270,1.9,Diesel,no,2001,8.006367567650246
Toyota,9800.0,other,250,1.8,Petrol,yes,2000,9.190137664658664
Volkswagen,12850.0,crossover,200,2.5,Diesel,yes,2006,9.461099090323366
BMW,52300.0,sedan,55,3.0,Diesel,yes,2013,10.864751650053014
BMW,3650.0,sedan,300,2.0,Petrol,yes,1990,8.202482446576537
BMW,39900.0,crossover,82,3.0,Petrol,yes,2011,10.594131602877955
Renault,7400.0,vagon,200,1.5,Diesel,yes,2007,8.909235279192261
Volkswagen,13999.0,van,175,2.0,Diesel,yes,2012,9.546741177474825
Mercedes-Benz,15500.0,sedan,270,3.2,Diesel,no,2007,9.648595302907339
Renault,8500.0,vagon,130,1.5,Diesel,yes,2012,9.047821442478408
BMW,32500.0,other,86,3.0,Petrol,yes,2010,10.388995368317829
Toyota,14700.0,sedan,131,3.5,Gas,yes,2007,9.595602772766828
Volkswagen,6500.0,van,310,1.9,Diesel,yes,1997,8.779557455883728
Renault,7800.0,van,139,1.5,Diesel,yes,2013,8.961879012677683
Mercedes-Benz,8700.0,van,290,2.2,Diesel,yes,2005,9.071078304642676
Renault,9000.0,hatch,56,1.6,Petrol,yes,2011,9.104979856318357
Mercedes-Benz,14800.0,van,139,3.0,Diesel,yes,2008,9.602382459752207
Toyota,13400.0,sedan,125,2.4,Petrol,yes,2008,9.503009985939002
BMW,7777.0,other,375,4.0,Diesel,yes,2000,8.958925938694943
Toyota,6900.0,hatch,92,1.3,Petrol,yes,2006,8.83927669058535
Volkswagen,10500.0,other,270,2.5,Diesel,yes,2007,9.259130536145614
Audi,7800.0,sedan,90,2.2,Gas,yes,1994,8.961879012677683
Mercedes-Benz,4100.0,sedan,215,4.3,Petrol,no,2001,8.318742252692399
BMW,4400.0,sedan,260,2.0,Gas,yes,1990,8.389359819906353
BMW,41500.0,crossover,176,3.0,Diesel,yes,2012,10.63344870621879
Mercedes-Benz,13999.0,van,98,2.2,Diesel,yes,2011,9.546741177474825
Mercedes-Benz,16800.0,van,116,2.2,Diesel,yes,2013,9.72913416539135
BMW,58500.0,crossover,80,3.0,Diesel,yes,2013,10.976782033219948
Volkswagen,10200.0,sedan,280,1.8,Petrol,yes,2006,9.230142999272362
Mitsubishi,13300.0,crossover,110,2.4,Gas,yes,2008,9.495519314209846
Renault,6300.0,van,180,1.5,Diesel,yes,2012,8.748304912379623
Audi,16999.0,hatch,69,1.4,Petrol,yes,2012,9.74090979777877
Toyota,20100.0,crossover,48,2.0,Petrol,yes,2012,9.908475094047168
Volkswagen,10800.0,sedan,100,1.8,Petrol,yes,2008,9.287301413112312
Mercedes-Benz,14200.0,sedan,245,2.2,Diesel,yes,2007,9.560997243589352
BMW,4700.0,sedan,333,3.0,Petrol,yes,1994,8.45531778769815
BMW,5700.0,sedan,252,2.5,Diesel,yes,1997,8.648221453822641
BMW,11900.0,sedan,300,2.5,Gas,yes,2004,9.38429367909962
Mercedes-Benz,3750.0,vagon,330,2.2,Gas,yes,1995,8.229511118964457
Mercedes-Benz,2700.0,sedan,350,3.0,Diesel,yes,1988,7.90100705199242
Volkswagen,2999.0,vagon,239,1.9,Diesel,no,2003,8.00603417874901
Mercedes-Benz,8600.0,sedan,240,3.2,Diesel,yes,2001,9.0595174822416
Toyota,6950.0,sedan,192,2.0,Petrol,yes,2003,8.846496938558838
Mitsubishi,22900.0,crossover,69,2.4,Petrol,yes,2014,10.03889218954233
Volkswagen,8900.0,sedan,185,1.6,Petrol,yes,2007,9.093806555720231
Volkswagen,7500.0,van,317,1.9,Diesel,yes,2008,8.922658299524402
BMW,28700.0,sedan,160,3.0,Petrol,yes,2011,10.264652401747712
Mercedes-Benz,12000.0,other,218,2.2,Diesel,yes,2007,9.392661928770137
BMW,10999.0,sedan,150,2.0,Gas,yes,2003,9.305559638557117
Audi,23000.0,crossover,167,3.6,Petrol,yes,2008,10.043249494911286
Audi,2550.0,vagon,1,2.5,Diesel,no,1998,7.843848638152472
Toyota,8800.0,crossover,388,4.2,Diesel,yes,1997,9.082507000466299
Renault,10000.0,van,220,2.0,Diesel,yes,2007,9.210340371976184
Renault,6300.0,van,73,1.5,Diesel,yes,2008,8.748304912379623
Toyota,13800.0,other,160,3.5,Gas,yes,2006,9.532423871145296
Volkswagen,10750.0,van,176,2.0,Diesel,yes,2012,9.28266103355581
Volkswagen,12500.0,van,207,1.9,Diesel,yes,2007,9.433483923290392
Mercedes-Benz,5500.0,sedan,250,2.2,Diesel,no,2003,8.612503371220562
Volkswagen,13300.0,van,250,2.5,Diesel,yes,2008,9.495519314209846
Volkswagen,20000.0,crossover,115,2.5,Diesel,yes,2008,9.903487552536127
Renault,3500.0,van,30,1.4,Gas,yes,2006,8.160518247477505
Renault,9300.0,sedan,94,1.5,Diesel,yes,2011,9.137769679141348
Audi,30500.0,sedan,110,3.0,Petrol,yes,2011,10.325481962595504
Audi,18300.0,vagon,190,2.0,Diesel,yes,2011,9.814656338829513
Audi,41000.0,crossover,88,4.2,Diesel,yes,2010,10.621327345686446
BMW,4100.0,hatch,160,1.6,Petrol,yes,2004,8.318742252692399
Volkswagen,22500.0,van,62,2.0,Diesel,yes,2011,10.021270588192511
Volkswagen,8900.0,van,272,1.9,Diesel,yes,2005,9.093806555720231
BMW,13950.0,crossover,278,3.0,Diesel,yes,2003,9.543234787249512
Volkswagen,8999.0,van,125,1.6,Diesel,yes,2011,9.104868739033948
Toyota,14100.0,hatch,67,1.6,Petrol,yes,2012,9.55393007636626
Volkswagen,6950.0,sedan,132,1.6,Other,yes,2004,8.846496938558838
Volkswagen,7350.0,hatch,180,1.4,Petrol,yes,2003,8.902455592206882
Mercedes-Benz,17500.0,other,180,3.0,Diesel,yes,2008,9.769956159911606
Mercedes-Benz,20500.0,sedan,222,5.5,Petrol,yes,2006,9.9281801651265
Mercedes-Benz,115000.0,sedan,49,4.7,Petrol,yes,2014,11.652687407345388
Mitsubishi,11100.0,vagon,132,2.4,Gas,yes,2006,9.314700387300425
BMW,29900.0,sedan,175,2.0,Diesel,yes,2011,10.305613759378778
Toyota,17595.0,sedan,131,2.0,Petrol,yes,2011,9.775370049755686
Volkswagen,6800.0,van,170,2.0,Gas,no,2011,8.824677891164198
Audi,4150.0,vagon,249,2.5,Diesel,no,2004,8.330863613224745
Toyota,32950.0,other,50,5.7,Petrol,yes,2013,10.402746539930654
Mercedes-Benz,7500.0,other,406,2.2,Diesel,yes,2003,8.922658299524402
BMW,33700.0,crossover,134,4.4,Petrol,yes,2009,10.425253116340453
Mitsubishi,8350.0,sedan,98,1.5,Petrol,yes,2010,9.030016817844901
BMW,4100.0,sedan,350,2.4,Diesel,yes,1992,8.318742252692399
BMW,4700.0,sedan,230,2.5,Petrol,yes,1990,8.45531778769815
Mercedes-Benz,14500.0,van,207,2.2,Diesel,yes,2008,9.581903928408666
Mercedes-Benz,9600.0,van,184,2.2,Diesel,yes,2012,9.169518377455928
Mercedes-Benz,17800.0,van,162,1.8,Diesel,yes,2012,9.786953736280177
Mercedes-Benz,40000.0,crossover,152,5.0,Gas,yes,2006,10.596634733096073
Toyota,24000.0,crossover,152,4.0,Gas,yes,2006,10.085809109330082
Volkswagen,8300.0,other,151,2.0,Petrol,yes,2005,9.02401079378469
BMW,3800.0,sedan,278,2.9,Diesel,no,2001,8.242756345714477
Audi,27500.0,sedan,150,2.0,Petrol,yes,2013,10.221941283654663
Volkswagen,5200.0,vagon,248,2.0,Diesel,no,2005,8.556413904569519
Volkswagen,8500.0,sedan,220,2.0,Other,yes,2005,9.047821442478408
Mercedes-Benz,43500.0,sedan,59,4.6,Petrol,yes,2011,10.680516217076775
BMW,14000.0,crossover,240,4.4,Gas,yes,2002,9.546812608597396
Mitsubishi,11500.0,crossover,191,3.0,Gas,yes,2006,9.350102314351341
BMW,41000.0,sedan,97,4.4,Petrol,yes,2011,10.621327345686446
Mercedes-Benz,62000.0,crossover,150,3.0,Diesel,yes,2013,11.03488966402723
Audi,35900.0,crossover,143,3.0,Diesel,yes,2010,10.48849257447637
Mercedes-Benz,8200.0,other,199,2.2,Diesel,yes,2001,9.011889433252344
Mercedes-Benz,17300.0,sedan,107,1.8,Petrol,yes,2008,9.75846178048587
Audi,30999.0,sedan,2,1.4,Petrol,yes,2016,10.341710224882465
BMW,3099.0,sedan,230,3.0,Diesel,no,2003,8.038834757787749
Audi,5700.0,vagon,250,2.0,Diesel,no,2006,8.648221453822641
Volkswagen,7400.0,sedan,178,1.8,Gas,yes,2001,8.909235279192261
Toyota,14500.0,other,180,2.5,Diesel,yes,2007,9.581903928408666
Volkswagen,7300.0,van,214,1.9,Diesel,yes,2001,8.895629627136483
Mercedes-Benz,33800.0,crossover,120,3.0,Diesel,yes,2010,10.42821608147111
BMW,3900.0,sedan,330,3.0,Diesel,no,2000,8.268731832117737
Volkswagen,10700.0,van,274,2.5,Diesel,yes,2001,9.277999020449997
Audi,17800.0,sedan,177,4.2,Petrol,yes,2008,9.786953736280177
Mitsubishi,14500.0,crossover,167,3.0,Gas,yes,2008,9.581903928408666
Mercedes-Benz,29900.0,sedan,83,2.2,Diesel,yes,2012,10.305613759378778
Mercedes-Benz,8100.0,van,330,2.2,Diesel,yes,2001,8.99961934066053
Mercedes-Benz,29500.0,sedan,64,1.6,Petrol,yes,2013,10.292145542327912
Mercedes-Benz,12700.0,other,198,2.2,Diesel,yes,2011,9.449357272446683
Volkswagen,1199.0,hatch,250,1.9,Diesel,no,1994,7.089243155027514
Volkswagen,12999.0,van,250,1.9,Diesel,yes,2009,9.47262771040802
Audi,34419.45,sedan,0,1.4,Petrol,yes,2016,10.446377090555934
Mitsubishi,8600.0,sedan,145,2.0,Petrol,yes,2009,9.0595174822416
Renault,10450.0,van,106,2.0,Diesel,yes,2013,9.254357257392957
Mercedes-Benz,17800.0,van,145,2.2,Diesel,yes,2010,9.786953736280177
Audi,3550.0,sedan,215,2.5,Diesel,no,2001,8.174702882469461
Mercedes-Benz,114999.0,crossover,0,2.99,Diesel,yes,2016,11.652678711655406
Renault,13400.0,vagon,190,1.5,Diesel,yes,2013,9.503009985939002
BMW,2250.0,sedan,350,2.5,Diesel,yes,1998,7.718685495198466
Mitsubishi,14999.0,crossover,115,3.0,Petrol,yes,2008,9.61573881119536
Volkswagen,10600.0,van,140,2.0,Diesel,yes,2011,9.268609280100158
Audi,34000.0,crossover,119,2.0,Diesel,yes,2013,10.4341158035983
BMW,33500.0,sedan,65,2.0,Petrol,yes,2013,10.419300717813158
Audi,22800.0,sedan,122,2.0,Petrol,yes,2011,10.034515814942532
BMW,66666.0,crossover,0,2.0,Diesel,yes,2016,11.107450356812064
Audi,18500.0,crossover,185,3.6,Petrol,yes,2008,9.825526011066415
Volkswagen,17900.0,sedan,192,2.5,Diesel,yes,2007,9.792555991828847
Mercedes-Benz,6950.0,other,190,2.2,Diesel,yes,1999,8.846496938558838
Mercedes-Benz,105000.0,crossover,1,3.0,Diesel,yes,2016,11.56171562913966
Renault,11999.0,van,107,2.0,Diesel,yes,2013,9.392578591964389
Renault,8000.0,van,189,1.9,Diesel,yes,2005,8.987196820661973
BMW,4600.0,sedan,280,3.0,Other,no,1999,8.433811582477187
Renault,7400.0,vagon,242,1.5,Diesel,yes,2007,8.909235279192261
Audi,27500.0,crossover,147,3.0,Diesel,yes,2008,10.221941283654663
Toyota,27500.0,crossover,85,4.0,Petrol,yes,2007,10.221941283654663
Volkswagen,9800.0,van,196,1.6,Diesel,yes,2011,9.190137664658664
Volkswagen,21000.0,crossover,173,3.0,Diesel,yes,2008,9.95227771670556
Audi,9000.0,vagon,199,2.7,Petrol,yes,2003,9.104979856318357
Audi,55000.0,crossover,100,6.0,Diesel,yes,2009,10.915088464214607
Mercedes-Benz,38900.0,crossover,65,4.5,Petrol,yes,2010,10.568749529606537
Renault,4000.0,sedan,180,1.4,Gas,yes,2006,8.294049640102028
Toyota,13300.0,sedan,152,2.0,Petrol,yes,2009,9.495519314209846
Volkswagen,34500.0,crossover,108,3.0,Diesel,yes,2012,10.448714603019452
BMW,24999.0,vagon,24,2.0,Petrol,yes,2012,10.126591103050316
Volkswagen,9750.0,hatch,130,1.4,Petrol,yes,2005,9.185022563991893
BMW,5900.0,sedan,390,1.8,Gas,yes,1996,8.68270762989381
Volkswagen,6500.0,van,290,1.9,Diesel,yes,2004,8.779557455883728
Volkswagen,11000.0,vagon,127,1.6,Diesel,yes,2012,9.305650551780507
Mercedes-Benz,18800.0,sedan,320,5.0,Petrol,yes,1998,9.84161214881804
Volkswagen,13700.0,van,222,2.0,Diesel,yes,2011,9.525151111816216
Volkswagen,8500.0,van,184,2.0,Diesel,yes,2007,9.047821442478408
Volkswagen,19100.0,sedan,4,1.6,Other,yes,2016,9.857443614034722
Renault,10200.0,hatch,70,1.5,Diesel,yes,2013,9.230142999272362
BMW,7800.0,sedan,310,2.0,Gas,yes,2000,8.961879012677683
Mercedes-Benz,9150.0,sedan,273,2.7,Diesel,yes,2000,9.121509158269568
Renault,7900.0,van,268,1.5,Diesel,yes,2008,8.974618038455112
Toyota,72000.0,crossover,40,4.5,Diesel,yes,2014,11.184421397998193
Mercedes-Benz,49500.0,crossover,52,3.0,Diesel,yes,2013,10.809727948556782
Volkswagen,45000.0,sedan,90,3.0,Diesel,yes,2011,10.714417768752456
Renault,8300.0,van,141,2.0,Diesel,yes,2011,9.02401079378469
Renault,5100.0,vagon,156,1.5,Diesel,yes,2006,8.536995818712418
Toyota,15300.0,other,116,2.4,Petrol,yes,2009,9.635608107380527
Volkswagen,7300.0,van,142,2.0,Diesel,yes,2006,8.895629627136483
Toyota,14700.0,hatch,98,1.6,Gas,yes,2013,9.595602772766828
Mercedes-Benz,7900.0,other,197,2.2,Diesel,yes,2003,8.974618038455112
Volkswagen,2900.0,vagon,243,1.9,Diesel,no,1999,7.9724660159745655
BMW,3200.0,sedan,237,2.5,Petrol,yes,1990,8.070906088787819
Mercedes-Benz,4400.0,sedan,160,2.7,Diesel,no,2000,8.389359819906353
Toyota,20800.0,crossover,107,4.0,Petrol,yes,2006,9.94270826568941
Toyota,27800.0,crossover,98,2.2,Diesel,yes,2013,10.232791299678729
Audi,16500.0,vagon,171,2.0,Diesel,yes,2008,9.711115659888671
Renault,10500.0,van,67,1.6,Petrol,yes,2012,9.259130536145614
Mitsubishi,16999.0,crossover,107,3.0,Gas,yes,2008,9.74090979777877
Audi,35000.0,sedan,92,2.8,Petrol,yes,2013,10.46310334047155
Mercedes-Benz,21500.0,crossover,142,3.5,Petrol,yes,2008,9.975808214115753
Mercedes-Benz,15800.0,other,264,2.2,Other,yes,2009,9.667765219015058
BMW,75555.0,sedan,30,4.4,Petrol,yes,2014,11.23261614684786
Toyota,8900.0,other,180,2.0,Petrol,yes,2003,9.093806555720231
Renault,6300.0,vagon,189,1.5,Diesel,yes,2008,8.748304912379623
Mitsubishi,20500.0,crossover,109,3.2,Diesel,yes,2009,9.9281801651265
Volkswagen,11300.0,van,165,1.9,Diesel,yes,2010,9.332558004700433
Volkswagen,42500.0,crossover,63,3.0,Diesel,yes,2014,10.657259354912508
Toyota,28000.0,crossover,95,3.5,Gas,yes,2011,10.239959789157341
Mitsubishi,17500.0,crossover,38,1.8,Petrol,yes,2012,9.769956159911606
Volkswagen,7800.0,van,282,2.5,Diesel,yes,2000,8.961879012677683
Mercedes-Benz,74999.0,crossover,1,2.2,Diesel,yes,2016,11.225230059096225
Renault,10200.0,other,39,1.5,Diesel,yes,2014,9.230142999272362
BMW,22500.0,sedan,179,3.0,Diesel,yes,2007,10.021270588192511
Mercedes-Benz,52777.0,sedan,60,3.0,Diesel,yes,2012,10.873830768729865
Toyota,14250.0,van,127,3.5,Other,yes,2007,9.564512185696797
Toyota,26200.0,crossover,156,4.0,Gas,yes,2007,10.173514689749188
Volkswagen,9800.0,van,299,2.5,Diesel,yes,2002,9.190137664658664
Mercedes-Benz,47600.0,van,0,2.2,Diesel,yes,2016,10.770588040219511
Volkswagen,8700.0,other,357,2.5,Diesel,yes,2003,9.071078304642676
BMW,30500.0,crossover,147,3.0,Diesel,yes,2008,10.325481962595504
Renault,11700.0,vagon,177,1.5,Diesel,yes,2012,9.367344120785848
Mercedes-Benz,6400.0,hatch,177,2.0,Diesel,no,2008,8.764053269347762
BMW,36400.0,crossover,80,3.0,Petrol,yes,2011,10.502324053624832
Audi,75000.0,crossover,0,3.0,Diesel,yes,2015,11.225243392518447
Volkswagen,6000.0,hatch,195,1.2,Gas,yes,2004,8.699514748210191
Mercedes-Benz,4900.0,van,248,2.2,Diesel,yes,2003,8.496990484098719
Mercedes-Benz,6999.0,sedan,288,3.2,Gas,yes,2001,8.85352256068954
Volkswagen,9900.0,other,171,1.6,Diesel,yes,2011,9.20029003612268
Volkswagen,3500.0,sedan,189,1.8,Petrol,yes,1993,8.160518247477505
BMW,1750.0,vagon,200,2.0,Petrol,no,2000,7.4673710669175595
Renault,4600.0,sedan,230,1.5,Diesel,yes,2007,8.433811582477187
Volkswagen,9800.0,van,220,1.9,Diesel,yes,2008,9.190137664658664
Renault,5950.0,van,135,1.5,Diesel,yes,2012,8.691146498539675
Renault,7400.0,van,120,1.5,Diesel,yes,2012,8.909235279192261
Audi,12800.0,sedan,217,1.8,Petrol,yes,2007,9.457200449907708
Volkswagen,9000.0,sedan,59,1.6,Gas,yes,2013,9.104979856318357
Mitsubishi,18600.0,crossover,52,2.0,Petrol,yes,2013,9.830916859701293
BMW,3900.0,sedan,340,2.5,Diesel,no,2000,8.268731832117737
Audi,92222.0,crossover,0,3.0,Diesel,yes,2016,11.431953992795103
Volkswagen,5400.0,other,314,2.4,Diesel,yes,1993,8.594154232552366
Audi,16000.0,sedan,250,2.0,Diesel,yes,2008,9.680344001221918
Volkswagen,3500.0,other,304,1.9,Diesel,no,2006,8.160518247477505
Mercedes-Benz,6500.0,sedan,270,2.8,Gas,yes,1999,8.779557455883728
Mercedes-Benz,7000.0,sedan,300,4.3,Gas,yes,2000,8.85366542803745
Renault,10499.0,vagon,121,1.5,Diesel,yes,2013,9.259035293514941
Renault,13900.0,crossover,111,2.5,Gas,yes,2010,9.539644119118783
BMW,6400.0,other,220,2.5,Petrol,yes,1997,8.764053269347762
BMW,10800.0,sedan,246,3.0,Diesel,yes,2003,9.287301413112312
BMW,12700.0,hatch,130,2.0,Petrol,yes,2007,9.449357272446683
BMW,38500.0,sedan,140,2.0,Diesel,yes,2012,10.558413520275876
Mitsubishi,5999.0,sedan,150,1.6,Petrol,yes,2005,8.699348067653093
Renault,9500.0,hatch,77,1.6,Petrol,yes,2011,9.159047077588632
Volkswagen,12000.0,van,196,2.0,Diesel,yes,2011,9.392661928770137
Mercedes-Benz,38700.0,sedan,117,5.5,Petrol,yes,2010,10.563594879017874
Mercedes-Benz,40000.0,other,119,6.3,Petrol,yes,2008,10.596634733096073
Mercedes-Benz,6900.0,other,311,2.2,Diesel,yes,1999,8.83927669058535
Audi,24300.0,sedan,43,1.8,Petrol,yes,2012,10.09823162932864
Mitsubishi,17700.0,crossover,165,3.0,Gas,yes,2007,9.78131991856192
Toyota,18999.0,crossover,153,2.7,Gas,yes,2006,9.85214162518454
BMW,8300.0,sedan,200,4.4,Petrol,yes,2001,9.02401079378469
Toyota,25000.0,crossover,80,4.0,Gas,yes,2008,10.126631103850338
Mitsubishi,12499.0,crossover,142,2.4,Gas,yes,2008,9.433403920090221
BMW,2899.0,sedan,340,2.4,Diesel,yes,1988,7.972121128921655
BMW,19900.0,other,95,4.5,Petrol,yes,2005,9.898475010712584
Audi,51000.0,crossover,44,3.0,Diesel,yes,2014,10.839580911706463
Audi,81999.0,crossover,0,2.98,Diesel,yes,2016,11.314462331050079
BMW,9500.0,sedan,400,3.5,Gas,yes,1999,9.159047077588632
Mitsubishi,10200.0,crossover,99,2.0,Gas,yes,2008,9.230142999272362
Mercedes-Benz,5500.0,van,260,2.2,Diesel,no,2004,8.612503371220562
Volkswagen,18500.0,sedan,74,1.8,Petrol,yes,2011,9.825526011066415
Volkswagen,11200.0,van,200,2.5,Diesel,yes,2003,9.323669057283185
BMW,3099.0,sedan,320,2.0,Diesel,no,2000,8.038834757787749
Audi,27300.0,other,65,2.0,Petrol,yes,2011,10.21464198117305
Mitsubishi,9700.0,sedan,120,2.4,Gas,yes,2006,9.179881164491475
Mitsubishi,18900.0,crossover,127,3.0,Gas,yes,2008,9.846917201047734
Audi,33500.0,crossover,67,2.0,Petrol,yes,2011,10.419300717813158
Volkswagen,5500.0,van,400,1.9,Diesel,yes,1995,8.612503371220562
Volkswagen,5300.0,sedan,270,1.8,Gas,yes,1997,8.575462099540212
Toyota,25500.0,crossover,200,4.0,Petrol,yes,2007,10.146433731146518
Toyota,23660.0,crossover,125,3.5,Gas,yes,2013,10.071541137532378
Mitsubishi,5900.0,sedan,170,1.6,Petrol,yes,2007,8.68270762989381
Volkswagen,15900.0,sedan,150,2.0,Diesel,yes,2012,9.674074388208323
Mercedes-Benz,105999.0,crossover,0,2.98,Diesel,yes,2016,11.57118493908744
Mercedes-Benz,18500.0,van,170,2.2,Diesel,yes,2010,9.825526011066415
BMW,86999.0,crossover,0,3.0,Diesel,yes,2016,11.373651903317787
BMW,27800.0,sedan,170,2.0,Diesel,yes,2011,10.232791299678729
Volkswagen,9000.0,van,275,2.5,Diesel,yes,2002,9.104979856318357
Toyota,12200.0,sedan,185,3.5,Petrol,yes,2008,9.409191230721348
Toyota,5800.0,sedan,200,2.2,Petrol,yes,1999,8.66561319653451
Volkswagen,14499.0,van,164,2.0,Diesel,yes,2013,9.581834960513193
Audi,37000.0,other,170,3.0,Diesel,yes,2010,10.51867319162636
Volkswagen,4500.0,hatch,199,1.8,Petrol,yes,1996,8.411832675758411
Audi,6557.85,sedan,327,4.2,Gas,yes,2000,8.788418084315925
Renault,6800.0,sedan,219,1.6,Gas,yes,2007,8.824677891164198
BMW,37900.0,crossover,97,3.0,Diesel,yes,2010,10.542706391070517
Audi,14200.0,sedan,176,3.0,Diesel,yes,2005,9.560997243589352
Mitsubishi,9350.0,sedan,94,1.5,Gas,yes,2010,9.143131622282732
Toyota,3100.0,hatch,283,1.3,Petrol,yes,1994,8.039157390473237
Mitsubishi,8400.0,crossover,100,3.2,Diesel,yes,2011,9.035986984831405
Audi,30650.0,vagon,35,2.0,Petrol,yes,2013,10.330387941364357
Audi,8800.0,sedan,298,2.4,Gas,yes,1999,9.082507000466299
Mitsubishi,7699.0,crossover,254,3.0,Petrol,yes,2002,8.94884572927805
Renault,6400.0,van,136,1.5,Diesel,yes,2012,8.764053269347762
Volkswagen,16200.0,hatch,44,1.4,Petrol,yes,2012,9.692766521220475
Volkswagen,4100.0,sedan,88,1.8,Gas,yes,1993,8.318742252692399
Mercedes-Benz,6800.0,sedan,235,2.2,Diesel,yes,1999,8.824677891164198
Volkswagen,10600.0,sedan,75,1.6,Petrol,yes,2012,9.268609280100158
Toyota,13000.0,crossover,149,2.0,Petrol,yes,2006,9.472704636443673
Toyota,6500.0,sedan,248,2.0,Petrol,yes,2001,8.779557455883728
Audi,25500.0,vagon,181,3.0,Petrol,yes,2009,10.146433731146518
Volkswagen,28000.0,crossover,132,2.0,Diesel,yes,2011,10.239959789157341
Audi,3500.0,sedan,200,2.5,Diesel,no,2001,8.160518247477505
Volkswagen,14899.0,van,165,2.0,Diesel,yes,2013,9.60904937558734
BMW,3500.0,sedan,300,3.0,Diesel,no,1999,8.160518247477505
BMW,3500.0,sedan,272,2.0,Diesel,yes,2000,8.160518247477505
Volkswagen,71138.0,crossover,0,3.0,Diesel,yes,2016,11.172376931528394
Renault,9658.94,sedan,1,1.2,Petrol,yes,2016,9.175639190336833
Volkswagen,13000.0,van,178,2.5,Diesel,yes,2007,9.472704636443673
Toyota,8000.0,hatch,115,1.6,Petrol,yes,2007,8.987196820661973
BMW,56500.0,crossover,1,2.0,Diesel,yes,2016,10.941995917134532
Renault,9700.0,vagon,114,1.5,Diesel,yes,2012,9.179881164491475
Mercedes-Benz,7300.0,hatch,176,1.4,Petrol,yes,2004,8.895629627136483
Renault,9000.0,vagon,190,1.5,Diesel,yes,2009,9.104979856318357
Volkswagen,17900.0,sedan,96,2.5,Petrol,yes,2013,9.792555991828847
Volkswagen,10700.0,sedan,147,2.0,Petrol,yes,2007,9.277999020449997
Mercedes-Benz,11600.0,sedan,186,3.2,Petrol,yes,2003,9.358760377094455
Volkswagen,15000.0,van,275,2.5,Diesel,yes,2008,9.615805480084347
Volkswagen,8350.0,hatch,200,1.4,Petrol,yes,2005,9.030016817844901
Mercedes-Benz,7700.0,sedan,199,5.0,Petrol,yes,1996,8.948975607841776
BMW,47000.0,other,5,2.0,Petrol,yes,2014,10.757902880692196
Audi,72000.0,sedan,55,6.3,Petrol,yes,2012,11.184421397998193
Mitsubishi,17499.0,crossover,149,3.0,Gas,yes,2008,9.769899015421748
Renault,11300.0,vagon,141,1.5,Diesel,yes,2013,9.332558004700433
Toyota,8500.0,sedan,168,1.6,Petrol,yes,2008,9.047821442478408
Mercedes-Benz,14490.0,vagon,212,2.2,Diesel,yes,2008,9.581214035314728
Volkswagen,11999.0,van,176,2.0,Diesel,yes,2011,9.392578591964389
Volkswagen,4300.0,hatch,217,1.6,Gas,yes,1997,8.366370301681654
BMW,35500.0,crossover,33,2.0,Diesel,yes,2014,10.477287975463508
Toyota,2800.0,other,421,1.3,Gas,yes,1988,7.937374696163295
BMW,37976.25,sedan,0,2.0,Petrol,yes,2016,10.544716243314605
Renault,10500.0,van,183,2.5,Diesel,yes,2006,9.259130536145614
